 	Label	X	Y	Major	Minor	Angle
1	CombinedStack-1.tif:YPD_042515_003_RFPstack_001	76.157	114.935	78.038	69.798	4.100
2	CombinedStack-1.tif:YPD_042515_003_RFPstack_001	160.014	131.105	97.847	78.218	176.342
3	CombinedStack-1.tif:YPD_042515_003_RFPstack_002	122.764	119.739	100.502	81.587	141.798
4	CombinedStack-1.tif:YPD_042515_003_RFPstack_003	123.249	122.564	103.452	74.978	65.763
5	CombinedStack-1.tif:YPD_042515_003_RFPstack_003	94.804	170.996	23.475	21.967	159.605
6	CombinedStack-1.tif:YPD_042515_005_RFPstack_004	98.950	106.572	77.510	68.713	150.944
7	CombinedStack-1.tif:YPD_042515_005_RFPstack_004	159.546	136.384	87.297	86.228	135.795
8	CombinedStack-1.tif:YPD_042515_007_RFPstack_006	95.835	126.423	89.537	78.666	2.231
9	CombinedStack-1.tif:YPD_042515_007_RFPstack_006	155.532	139.077	53.721	45.458	162.027
10	CombinedStack-1.tif:YPD_042515_009_RFPstack_007	146.812	100.586	88.899	77.240	44.872
11	CombinedStack-1.tif:YPD_042515_009_RFPstack_007	110.710	155.632	73.598	69.165	79.674
12	CombinedStack-1.tif:YPD_042515_009_RFPstack_008	171.099	100.012	84.108	84.107	83.067
13	CombinedStack-1.tif:YPD_042515_009_RFPstack_008	91.427	145.526	102.747	94.948	169.274
14	CombinedStack-1.tif:YPD_042515_009_RFPstack_010	77.585	96.200	39.379	29.779	167.044
15	CombinedStack-1.tif:YPD_042515_009_RFPstack_010	132.003	123.667	103.845	88.868	174.438
16	CombinedStack-1.tif:YPD_042515_011_RFPstack_011	85.987	91.605	35.775	33.312	120.497
17	CombinedStack-1.tif:YPD_042515_011_RFPstack_011	131.879	130.060	110.169	91.359	84.944
18	CombinedStack-1.tif:YPD_042515_011_RFPstack_012	138.366	120.717	94.517	83.251	6.516
19	CombinedStack-1.tif:YPD_042515_011_RFPstack_012	79.146	128.285	33.542	30.785	3.498
20	CombinedStack-1.tif:YPD_042515_011_RFPstack_013	130.669	117.354	113.029	75.316	42.603
21	CombinedStack-1.tif:YPD_042515_011_RFPstack_014	130.959	128.096	109.529	83.372	156.239
22	CombinedStack-1.tif:YPD_042515_013_RFPstack_015	135.284	127.607	112.041	97.015	54.631
23	CombinedStack-1.tif:YPD_042515_013_RFPstack_016	126.200	95.026	103.853	81.039	127.614
24	CombinedStack-1.tif:YPD_042515_013_RFPstack_016	143.274	172.039	70.784	61.482	105.930
25	CombinedStack-1.tif:YPD_042515_015_RFPstack_017	166.666	82.530	46.040	42.036	152.460
26	CombinedStack-1.tif:YPD_042515_015_RFPstack_017	127.657	133.047	105.307	93.655	11.931
27	CombinedStack-1.tif:YPD_042515_015_RFPstack_018	130.384	131.269	102.362	92.854	115.876
28	CombinedStack-1.tif:YPD_042515_015_RFPstack_019	121.606	122.201	89.982	79.268	113.252
29	CombinedStack-1.tif:YPD_042515_017_RFPstack_020	111.096	84.544	103.065	76.964	113.488
30	CombinedStack-1.tif:YPD_042515_017_RFPstack_020	132.329	169.540	86.294	64.640	106.160
31	CombinedStack-1.tif:YPD_042515_019_RFPstack_023	94.552	75.615	51.047	38.486	144.388
32	CombinedStack-1.tif:YPD_042515_019_RFPstack_023	126.540	131.008	109.911	84.808	75.024
33	CombinedStack-1.tif:YPD_042515_019_RFPstack_024	128.760	124.080	107.204	78.173	54.297
34	CombinedStack-1.tif:YPD_042515_019_RFPstack_025	81.549	115.553	81.411	72.583	165.768
35	CombinedStack-1.tif:YPD_042515_019_RFPstack_025	169.402	119.490	117.874	83.248	168.605
36	CombinedStack-1.tif:YPD_042715_001_RFPstack_027	105.055	74.427	54.041	48.417	141.341
37	CombinedStack-1.tif:YPD_042715_001_RFPstack_027	130.178	139.194	105.555	95.075	123.454
38	CombinedStack-1.tif:YPD_042715_001_RFPstack_028	124.472	125.531	85.321	80.658	18.192
39	CombinedStack-1.tif:YPD_042715_001_RFPstack_029	126.942	124.933	79.881	73.559	93.066
40	CombinedStack-1.tif:YPD_042715_003_RFPstack_031	87.172	122.225	86.530	69.467	22.966
41	CombinedStack-1.tif:YPD_042715_005_RFPstack_033	147.045	93.875	121.428	94.915	61.131
42	CombinedStack-1.tif:YPD_042715_005_RFPstack_033	95.908	176.604	82.363	76.336	44.008
43	CombinedStack-1.tif:YPD_042715_005_RFPstack_034	151.575	118.122	115.577	97.440	36.551
44	CombinedStack-1.tif:YPD_042715_005_RFPstack_034	78.907	160.551	64.134	60.690	121.149
45	CombinedStack-1.tif:YPD_042715_007_RFPstack_035	130.005	115.449	76.614	72.093	26.665
46	CombinedStack-1.tif:YPD_042715_007_RFPstack_036	130.925	113.751	118.964	93.895	112.172
47	CombinedStack-1.tif:YPD_042715_009_RFPstack_038	170.695	105.392	69.301	62.522	13.931
48	CombinedStack-1.tif:YPD_042715_009_RFPstack_038	98.155	130.998	99.783	84.178	19.544
